name,price,brand
"SanDisk Ultra Dual Drive Go, USB Type-C, 256GB, Absinthe Green, 400MB/s R, 5 Y Warranty, Mobile Pendrive","1,767",SanDisk
"Verilux® Flash Drive 64GB 4 in 1 Pendrive with Light-ning, Micro USB, USB A, Type-C Interface Mini Hangable Pen Drive for iOS & Android Compatible with Phone, Pad, Android, PC and More Devices","1,282",Verilux
HP 818w 64GB USB 3.2 Flash Drive Silver Metal,399,HP
"HP v236w USB 2.0 64GB Pen Drive,",399,HP
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive,388,SanDisk
"SanDisk Ultra Flair 64GB USB 3.0 Pen Drive, Multicolor",429,SanDisk
HP v222w 64GB USB 2.0 Pen Drive (Silver),359,HP
Geonix Pendrive I Silver I USB 2.0 I Keyring Design I Lightweight I Variant 8GB I 5 Years Warranty,219,GEONIX
"HP v207w 32GB USB 2.0 Pen Drive,Black",289,HP
HP 712w 64GB USB 3.2 Flash Drive- Black,479,HP
"HP v236w USB 2.0 64GB Pen Drive,",399,HP
HP v150w 64 GB USB 2.0 Flash Drive (Blue),359,HP
"SanDisk Ultra Dual Drive Go, USB Type-C, 128GB, Navagio Bay, 400MB/s R, 5 Y Warranty, Mobile Pendrive",997,SanDisk
SanDisk Cruzer Blade 32GB USB Flash Drive,319,SanDisk
"SanDisk Ultra Dual Drive Go usb3.0 Type C Pendrive for Mobile (Black, 64 GB, 5Y - SDDDC3-064G-I35)",692,SanDisk
SanDisk SDCZ50-128G-I35 USB2.0 128 GB Pen Drive (Red and Black),687,SanDisk
SanDisk ® Ultra Curve USB 3.2 64GB 100MB/s R Navy Blue,427,SanDisk
"SanDisk Ultra Dual Drive Luxe Type C, Gold, 128GB, Up to 400MB/s Transfer Speed, USB 3.2 Gen 1, 5 Y Warranty","1,147",SanDisk
HP 712w 64GB USB 3.2 Flash Drive- Blue,479,HP
"SanDisk Ultra 64 GB USB 3.0 Pen Drive (SDCZ48-064G-135/SDCZ48-064G-UAM46, Black)",444,SanDisk
HP 818w 64GB USB 3.2 Flash Drive Silver Metal,399,HP
"Ustick 1 TB 4 in 1 Pen Drive with Micro USB, USB A, Type-C for iOS & Android Compatible with iPhone, iPad, Android, PC and More Devices","4,499",Generic
